Lag,Lag Farge,Dato,Tid,Kampnr,Hjemmelag,Bortelag,H-B,Bane,Tilskuere,Arrangør,Turnering,Kamp URL,Hjemmelag URL,Bortelag URL,Turnering URL
Fjellhammer 2,#059669,01.11.2025,11:15,41031504022         ,Fjellhammer 2,Lillestrøm 2,28-14,Fjellhamar Arena 1,40,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231634,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/lag/?lagid=695981,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer,#10b981,02.11.2025,17:50,41031502027         ,Oppegård,Fjellhammer,27-33,Østre Greverud Idrettshall,97,Oppegård Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231493,https://www.handball.no/system/kamper/lag/?lagid=855624,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer,#10b981,05.12.2025,18:50,420315002           ,Torp/Rolvsøy/Tindlund/Sarpsborg 2,Fjellhammer,-,Rolvsøyhallen,,Torp Idrætsforening,Mobile Regionscup G15,https://www.handball.no/system/kamper/kamp/?matchid=8263393,https://www.handball.no/system/kamper/lag/?lagid=997845,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=439013
Fjellhammer,#10b981,09.11.2025,12:30,41031502035         ,Fjellhammer,Haslum,28-28,Fjellhamar Arena 2,50,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231501,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/lag/?lagid=473135,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer 2,#059669,09.11.2025,13:35,41031504026         ,Kjelsås 2,Fjellhammer 2,27-24,Kjelsåshallen,45,Kjelsås Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231638,https://www.handball.no/system/kamper/lag/?lagid=745936,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer,#10b981,11.10.2025,14:30,41031502013         ,Fjellhammer,Lillestrøm,35-21,Fjellhamar Arena 2,40,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231479,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/lag/?lagid=682691,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer 2,#059669,14.09.2025,10:00,41031504004         ,Fjellhammer 2,Gjerdrum 2,31-23,Fjellhamar Arena 2,2,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231616,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/lag/?lagid=779812,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer 2,#059669,15.11.2025,14:25,41031504031         ,Fjellhammer 2,Linderud/Linje 5 - 2,-,Fjellhamar Arena 2,,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231643,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/lag/?lagid=774268,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer,#10b981,16.11.2025,18:45,41031502036         , Torp/Rolvsøy/Tindlund/Sarpsborg,Fjellhammer,-,Borgehallen,,Torp Idrætsforening,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231502,https://www.handball.no/system/kamper/lag/?lagid=997845,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer,#10b981,18.10.2025,14:15,41031502018         ,Ski/Langhus,Fjellhammer,16-22,Ski Alliansehall A,50,Ski IL Håndball,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231484,https://www.handball.no/system/kamper/lag/?lagid=454777,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer 2,#059669,19.10.2025,10:00,41031504013         ,Fjellhammer 2,Sørumsand,32-12,Fjellhamar Arena 2,60,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231625,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/lag/?lagid=497167,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer,#10b981,21.09.2025,14:35,41031502009         ,Nordstrand 2,Fjellhammer,13-32,Nordstrand Arena 1,125,Nordstrand Idrettsforening,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231475,https://www.handball.no/system/kamper/lag/?lagid=682369,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer 2,#059669,23.11.2025,14:40,41031504033         ,Sinsen-Refstad Idrettslag 2,Fjellhammer 2,-,Teglverket idrettshall,,Sinsen-Refstad Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231645,https://www.handball.no/system/kamper/lag/?lagid=1009730,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer,#10b981,23.11.2025,15:50,41031502045         ,Kråkerøy,Fjellhammer,-,Blomsterøyhallen,,Kråkerøy Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231511,https://www.handball.no/system/kamper/lag/?lagid=997528,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
Fjellhammer 2,#059669,24.10.2025,18:30,41031504012         ,Frogner/Hvam,Fjellhammer 2,10-31,Frogner idrettspark - Trippel flerbrukshall A,100,Frogner Idrettslag,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231624,https://www.handball.no/system/kamper/lag/?lagid=506888,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer 2,#059669,26.10.2025,13:50,41031504019         ,Ull/Kisa 2,Fjellhammer 2,26-37,Jessheimhallen,53,Ullensaker/Kisa IL Håndball,Regionserien Gutter 15 - avd 42,https://www.handball.no/system/kamper/kamp/?matchid=8231631,https://www.handball.no/system/kamper/lag/?lagid=966330,https://www.handball.no/system/kamper/lag/?lagid=812498,https://www.handball.no/system/kamper/turnering/?turnid=440240
Fjellhammer,#10b981,26.10.2025,14:30,41031502024         ,Fjellhammer,Bøler/Oppsal,31-17,Fjellhamar Arena,50,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231490,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/lag/?lagid=949866,https://www.handball.no/system/kamper/turnering/?turnid=440238
